municipio,recebidos,por_vacinados,por_doses_extras,por_perda_tecnica,em_estoque,aproveitamento,valor_medio_recebido_R$,valor_medio_vacinados_R$,valor_medio_extra_R$,valor_medio_perda_R$,valor_medio_estoque_R$,aproveitamento_R$,meta
1,117708,107021,2365,3030,10022,82,"1.765.620,00","1.605.315,00","35.475,00","45.450,00","150.330,00","-320.610,00",1
2,40219,34785,291,5111,614,73,"603.285,00","521.775,00","4.365,00","76.665,00","9.210,00","-163.020,00",1
3,38513,34449,488,3570,982,79,"577.695,00","516.735,00","7.320,00","53.550,00","14.730,00","-121.920,00",1
4,96803,91999,1841,3873,2772,90,"1.452.045,00","1.379.985,00","27.615,00","58.095,00","41.580,00","-144.120,00",1
5,50791,44663,257,5295,1090,76,"761.865,00","669.945,00","3.855,00","79.425,00","16.350,00","-183.840,00",1
6,30726,23042,596,1476,6804,50,"460.890,00","345.630,00","8.940,00","22.140,00","102.060,00","-230.520,00",0
7,113736,100285,923,6784,7590,76,"1.706.040,00","1.504.275,00","13.845,00","101.760,00","113.850,00","-403.530,00",1
8,22980,20381,229,2468,360,77,"344.700,00","305.715,00","3.435,00","37.020,00","5.400,00","-77.970,00",1
9,388017,320859,3943,37770,33331,65,"5.820.255,00","4.812.885,00","59.145,00","566.550,00","499.965,00","-2.014.740,00",0
10,36213,29741,207,4858,1821,64,"543.195,00","446.115,00","3.105,00","72.870,00","27.315,00","-194.160,00",0
11,94707,87237,1211,4,8677,84,"1.420.605,00","1.308.555,00","18.165,00","60,00","130.155,00","-224.100,00",1
12,122270,113219,756,2536,7271,85,"1.834.050,00","1.698.285,00","11.340,00","38.040,00","109.065,00","-271.530,00",1
13,48539,46060,261,1351,1389,90,"728.085,00","690.900,00","3.915,00","20.265,00","20.835,00","-74.370,00",1
14,34090,28434,442,2662,3436,67,"511.350,00","426.510,00","6.630,00","39.930,00","51.540,00","-169.680,00",0
15,45928,38712,689,30,7875,69,"688.920,00","580.680,00","10.335,00","450,00","118.125,00","-216.480,00",0
16,634454,544779,6154,56359,39470,72,"9.516.810,00","8.171.685,00","92.310,00","845.385,00","592.050,00","-2.690.250,00",1
17,1232165,1047169,12630,94741,102885,70,"18.482.475,00","15.707.535,00","189.450,00","1.421.115,00","1.543.275,00","-5.549.880,00",0
18,117752,112107,979,6418,206,90,"1.766.280,00","1.681.605,00","14.685,00","96.270,00","3.090,00","-169.350,00",1
19,458510,327818,2840,15014,118518,43,"6.877.650,00","4.917.270,00","42.600,00","225.210,00","1.777.770,00","-3.920.760,00",0
20,99465,81701,1762,12808,6718,64,"1.491.975,00","1.225.515,00","26.430,00","192.120,00","100.770,00","-532.920,00",0
